sample_id,scenario_type,message,amount,direction,recipient,is_new_recipient,history_count,claimed_action,actual_action,intent_mismatch,payment_before_benefit,escalation_level,true_risk_level,true_decision
SYN_REFUND_001,refund_scam,"Your ₹5,000 refund has been approved. Scan this QR code to receive your money.",300.0,SEND,refund_scammer_0@upi,True,0,RECEIVE,SEND,True,False,NONE,CRITICAL,PAUSE
SYN_REFUND_002,refund_scam,"Amazon ₹1,500 refund issued. Receive payment in your account by scanning QR.",500.0,SEND,refund_scammer_1@upi,True,0,RECEIVE,SEND,True,False,NONE,CRITICAL,PAUSE
SYN_REFUND_003,refund_scam,Airtel recharge cashback ₹300 pending. Click to collect your refund now.,500.0,SEND,refund_scammer_2@upi,True,0,RECEIVE,SEND,True,False,NONE,CRITICAL,PAUSE
SYN_REFUND_004,refund_scam,"Your ₹5,000 refund has been approved. Scan this QR code to receive your money.",5000.0,SEND,refund_scammer_3@upi,True,0,RECEIVE,SEND,True,False,NONE,CRITICAL,PAUSE
SYN_REFUND_005,refund_scam,"Your ₹5,000 refund has been approved. Scan this QR code to receive your money.",3000.0,SEND,refund_scammer_4@upi,True,0,RECEIVE,SEND,True,False,NONE,CRITICAL,PAUSE
SYN_REFUND_006,refund_scam,Electricity overcharge refund ₹850 approved. Accept payment via UPI QR.,300.0,SEND,refund_scammer_0@upi,True,0,RECEIVE,SEND,True,False,NONE,CRITICAL,PAUSE
SYN_REFUND_007,refund_scam,"Your ₹5,000 refund has been approved. Scan this QR code to receive your money.",300.0,SEND,refund_scammer_1@upi,True,0,RECEIVE,SEND,True,False,NONE,CRITICAL,PAUSE
SYN_REFUND_008,refund_scam,Airtel recharge cashback ₹300 pending. Click to collect your refund now.,500.0,SEND,refund_scammer_2@upi,True,0,RECEIVE,SEND,True,False,NONE,CRITICAL,PAUSE
SYN_REFUND_009,refund_scam,"Your ₹5,000 refund has been approved. Scan this QR code to receive your money.",3000.0,SEND,refund_scammer_3@upi,True,0,RECEIVE,SEND,True,False,NONE,CRITICAL,PAUSE
SYN_REFUND_010,refund_scam,Airtel recharge cashback ₹300 pending. Click to collect your refund now.,5000.0,SEND,refund_scammer_4@upi,True,0,RECEIVE,SEND,True,False,NONE,CRITICAL,PAUSE
SYN_REFUND_011,refund_scam,Electricity overcharge refund ₹850 approved. Accept payment via UPI QR.,500.0,SEND,refund_scammer_0@upi,True,0,RECEIVE,SEND,True,False,NONE,CRITICAL,PAUSE
SYN_REFUND_012,refund_scam,Electricity overcharge refund ₹850 approved. Accept payment via UPI QR.,3000.0,SEND,refund_scammer_1@upi,True,0,RECEIVE,SEND,True,False,NONE,CRITICAL,PAUSE
SYN_REFUND_013,refund_scam,"Amazon ₹1,500 refund issued. Receive payment in your account by scanning QR.",300.0,SEND,refund_scammer_2@upi,True,0,RECEIVE,SEND,True,False,NONE,CRITICAL,PAUSE
